Expression,Value
0 * 57,0
0 / 57,0.0
0 + 58,58
0 * 58,0
0 / 58,0.0
0 + 59,59
0 / 59,0.0
0 * 60,0
0 / 61,0.0
0 / 62,0.0
0 + 63,63
0 * 63,0
0 / 63,0.0
0 / 64,0.0
0 - 65,-65
0 / 65,0.0
0 - 66,-66
0 * 66,0
0 - 68,-68
0 * 68,0
0 / 68,0.0
0 / 69,0.0
0 * 70,0
0 / 70,0.0
0 + 71,71
0 - 71,-71
0 / 71,0.0
0 + 72,72
0 - 72,-72
0 * 72,0
0 / 72,0.0
0 + 73,73
0 / 73,0.0
0 + 74,74
0 - 74,-74
0 * 74,0
0 * 75,0
0 - 76,-76
0 + 77,77
0 - 77,-77
0 * 77,0
0 + 78,78
0 - 78,-78
0 * 78,0
0 + 79,79
0 * 79,0
0 - 80,-80
0 / 80,0.0
0 - 81,-81
0 + 82,82
0 - 82,-82
0 / 82,0.0
0 + 83,83
0 * 83,0
0 / 83,0.0
0 + 84,84
0 - 84,-84
0 / 84,0.0
0 + 85,85
0 - 85,-85
0 / 85,0.0
0 + 86,86
0 / 86,0.0
0 + 87,87
0 - 87,-87
0 * 87,0
0 / 87,0.0
0 + 88,88
0 / 88,0.0
0 / 89,0.0
0 + 90,90
0 * 90,0
0 / 90,0.0
0 + 91,91
0 / 91,0.0
0 + 92,92
0 - 92,-92
0 - 93,-93
0 / 93,0.0
0 - 94,-94
0 + 95,95
0 + 96,96
0 - 96,-96
0 + 97,97
0 - 97,-97
0 * 97,0
0 + 98,98
0 / 98,0.0
0 + 99,99
0 * 99,0
1 + 0,1
1 - 0,1
1 * 0,0
1 + 1,2
1 * 1,1
1 * 2,2
1 + 3,4
1 + 4,5
1 - 4,-3
1 / 4,0.25
1 + 5,6
1 - 5,-4
1 + 6,7
1 - 6,-5
1 * 6,6
1 / 6,0.16666666666666666
1 + 7,8
1 * 7,7
1 + 8,9
1 - 8,-7
1 - 9,-8
1 - 10,-9
1 * 10,10
1 / 10,0.1
1 - 11,-10
1 / 11,0.09090909090909091
1 + 12,13
1 - 12,-11
1 - 13,-12
1 - 14,-13
1 * 14,14
1 + 15,16
1 - 15,-14
1 * 15,15
1 - 16,-15
1 * 16,16
1 + 17,18
1 * 17,17
1 / 18,0.05555555555555555
1 - 19,-18
1 / 19,0.05263157894736842
1 * 20,20
1 - 21,-20
1 * 21,21
1 + 22,23
1 * 22,22
1 / 22,0.045454545454545456
1 - 23,-22
1 + 24,25
1 / 24,0.041666666666666664
1 + 26,27
1 + 27,28
1 * 27,27
1 + 28,29
1 - 28,-27
1 * 28,28
1 / 28,0.03571428571428571
1 + 29,30
1 - 29,-28
1 - 30,-29
1 / 30,0.03333333333333333
1 - 31,-30
1 * 31,31
1 * 32,32
1 + 33,34
1 - 33,-32
1 / 33,0.030303030303030304
1 + 34,35
1 - 34,-33
1 * 34,34
1 / 34,0.029411764705882353
1 + 35,36
1 * 35,35
1 / 35,0.02857142857142857
1 - 36,-35
1 / 36,0.027777777777777776
1 * 37,37
1 / 37,0.02702702702702703
1 + 38,39
1 / 38,0.02631578947368421
1 * 39,39
1 - 40,-39
1 / 40,0.025
1 + 41,42
1 * 41,41
1 / 41,0.024390243902439025
1 - 42,-41
1 + 43,44
1 - 43,-42
1 - 44,-43
1 / 44,0.022727272727272728
1 + 45,46
1 - 45,-44
1 * 45,45
1 / 46,0.021739130434782608
1 + 48,49
1 * 48,48
1 + 49,50
1 - 49,-48
1 / 49,0.02040816326530612
1 - 50,-49
1 + 51,52
1 / 51,0.0196078431372549
1 + 52,53
1 * 53,53
1 - 54,-53
1 * 54,54
1 / 54,0.018518518518518517
1 - 55,-54
1 * 55,55
1 / 55,0.01818181818181818
1 + 56,57
1 - 56,-55
1 * 56,56
1 / 56,0.017857142857142856
1 + 57,58
1 - 57,-56
1 - 58,-57
1 + 59,60
1 / 59,0.01694915254237288
1 - 61,-60
1 * 61,61
1 / 61,0.01639344262295082
1 + 62,63
1 / 62,0.016129032258064516
1 * 63,63
1 / 63,0.015873015873015872
1 + 64,65
1 - 64,-63
1 * 64,64
1 - 67,-66
1 * 67,67
1 - 68,-67
1 / 68,0.014705882352941176
1 - 69,-68
1 * 69,69
1 / 69,0.014492753623188406
1 * 70,70
1 * 71,71
1 / 71,0.014084507042253521
1 + 72,73
1 - 72,-71
1 + 73,74
1 * 75,75
1 + 76,77
1 * 76,76
1 + 77,78
1 * 77,77
1 - 79,-78
1 * 79,79
1 / 79,0.012658227848101266
1 + 80,81
1 - 80,-79
1 * 80,80
1 / 80,0.0125
1 + 81,82
1 + 82,83
1 / 82,0.012195121951219513
1 + 83,84
1 + 84,85
1 - 84,-83
1 - 85,-84
1 * 85,85
1 / 85,0.011764705882352941
1 + 86,87
1 - 86,-85
1 * 86,86
1 * 87,87
1 / 87,0.011494252873563218
1 + 88,89
1 / 88,0.011363636363636364
1 + 89,90
1 - 89,-88
1 * 89,89
1 / 89,0.011235955056179775
1 + 91,92
1 - 91,-90
1 * 91,91
1 / 91,0.01098901098901099
1 - 92,-91
1 / 92,0.010869565217391304
1 + 93,94
1 * 93,93
1 / 93,0.010752688172043012
1 * 94,94
1 / 94,0.010638297872340425
1 + 95,96
1 - 95,-94
1 + 96,97
1 * 96,96
1 / 96,0.010416666666666666
1 + 97,98
1 * 97,97
1 / 97,0.010309278350515464
1 - 98,-97
1 * 98,98
1 / 98,0.01020408163265306
1 + 99,100
1 - 99,-98
1 / 99,0.010101010101010102
2 + 0,2
2 * 0,0
2 / 1,2.0
2 - 2,0
2 * 2,4
2 + 3,5
2 - 3,-1
2 * 3,6
2 + 4,6
2 / 4,0.5
2 - 5,-3
2 * 5,10
2 / 5,0.4
2 / 6,0.3333333333333333
2 - 7,-5
2 / 7,0.2857142857142857
2 + 8,10
2 - 8,-6
2 / 9,0.2222222222222222
2 + 10,12
2 - 10,-8
2 + 11,13
2 - 11,-9
2 - 12,-10
2 + 13,15
2 - 13,-11
2 / 13,0.15384615384615385
2 - 14,-12
2 * 14,28
2 + 15,17
2 - 16,-14
2 * 16,32
2 + 17,19
2 - 17,-15
2 / 17,0.11764705882352941
2 - 19,-17
2 / 19,0.10526315789473684
2 + 20,22
2 - 20,-18
2 * 20,40
2 + 21,23
2 / 21,0.09523809523809523
2 + 22,24
2 - 22,-20
2 * 22,44
2 - 23,-21
2 * 23,46
2 / 23,0.08695652173913043
2 + 24,26
2 * 24,48
2 / 24,0.08333333333333333
2 + 25,27
2 - 25,-23
2 * 25,50
2 + 27,29
2 * 27,54
2 / 27,0.07407407407407407
2 + 28,30
2 - 28,-26
2 * 28,56
2 + 29,31
2 * 29,58
2 / 29,0.06896551724137931
2 + 30,32
2 - 30,-28
2 * 30,60
2 / 30,0.06666666666666667
2 + 31,33
2 * 31,62
2 * 32,64
2 / 32,0.0625
2 - 33,-31
2 * 33,66
2 + 34,36
2 / 35,0.05714285714285714
2 - 36,-34
2 * 36,72
2 / 36,0.05555555555555555
2 - 37,-35
2 / 37,0.05405405405405406
2 - 38,-36
2 * 38,76
2 * 39,78
2 / 39,0.05128205128205128
2 * 40,80
2 / 40,0.05
2 - 41,-39
2 * 41,82
2 + 42,44
2 - 42,-40
2 * 42,84
2 + 43,45
2 - 43,-41
2 * 43,86
2 - 44,-42
2 + 45,47
2 - 45,-43
2 * 45,90
2 - 46,-44
2 / 46,0.043478260869565216
2 + 47,49
2 + 48,50
2 - 48,-46
2 * 48,96
2 - 49,-47
2 * 49,98
2 / 49,0.04081632653061224
2 * 50,100
2 / 50,0.04
2 + 51,53
2 - 51,-49
2 - 52,-50
2 * 52,104
2 / 52,0.038461538461538464
2 - 54,-52
2 * 54,108
2 + 55,57
2 - 55,-53
2 / 55,0.03636363636363636
2 * 56,112
2 + 57,59
2 - 57,-55
2 * 57,114
2 / 57,0.03508771929824561
2 + 58,60
2 * 58,116
2 + 59,61
2 - 59,-57
2 - 60,-58
2 * 61,122
2 - 62,-60
2 / 62,0.03225806451612903
2 / 63,0.031746031746031744
2 + 64,66
2 - 64,-62
2 * 64,128
2 + 65,67
2 * 65,130
2 - 66,-64
2 * 66,132
2 + 67,69
2 * 69,138
2 / 69,0.028985507246376812
2 + 70,72
2 * 70,140
2 / 70,0.02857142857142857
2 + 71,73
2 - 71,-69
2 * 71,142
2 + 72,74
2 * 72,144
2 / 72,0.027777777777777776
2 + 73,75
2 * 73,146
2 / 73,0.0273972602739726
2 * 74,148
2 / 75,0.02666666666666667
2 + 76,78
2 - 76,-74
2 + 77,79
2 - 77,-75
2 + 78,80
2 - 78,-76
2 * 78,156
2 / 78,0.02564102564102564
2 * 79,158
2 / 79,0.02531645569620253
2 - 80,-78
2 / 80,0.025
2 + 81,83
2 * 81,162
2 / 81,0.024691358024691357
2 + 82,84
2 * 82,164
2 / 82,0.024390243902439025
2 - 83,-81
2 * 83,166
2 / 83,0.024096385542168676
2 - 85,-83
2 * 85,170
2 + 86,88
2 * 86,172
2 / 86,0.023255813953488372
2 - 87,-85
2 / 87,0.022988505747126436
2 - 88,-86
2 / 88,0.022727272727272728
2 / 89,0.02247191011235955
2 * 90,180
2 * 91,182
2 / 91,0.02197802197802198
2 + 92,94
2 * 92,184
2 - 93,-91
2 + 94,96
2 * 95,190
2 / 95,0.021052631578947368
2 + 96,98
2 - 96,-94
2 / 96,0.020833333333333332
2 * 97,194
2 - 98,-96
2 - 99,-97
2 / 99,0.020202020202020204
3 - 0,3
3 * 0,0
3 + 2,5
3 - 3,0
3 * 3,9
3 / 3,1.0
3 * 4,12
3 / 4,0.75
3 + 5,8
3 / 5,0.6
3 - 6,-3
3 * 6,18
3 - 7,-4
3 * 7,21
3 - 8,-5
3 * 8,24
3 / 8,0.375
3 * 9,27
3 / 9,0.3333333333333333
3 + 10,13
3 + 11,14
3 * 11,33
3 / 11,0.2727272727272727
3 - 12,-9
3 + 13,16
3 - 13,-10
3 / 13,0.23076923076923078
3 - 14,-11
3 / 14,0.21428571428571427
3 - 15,-12
3 * 15,45
3 / 15,0.2
3 + 16,19
3 * 16,48
3 / 16,0.1875
3 * 17,51
3 / 17,0.17647058823529413
3 + 18,21
3 - 18,-15
3 * 18,54
3 / 18,0.16666666666666666
3 + 19,22
3 - 19,-16
3 + 20,23
3 - 20,-17
3 / 20,0.15
3 + 22,25
3 - 22,-19
3 / 22,0.13636363636363635
3 - 23,-20
3 / 23,0.13043478260869565
3 + 24,27
3 / 24,0.125
3 + 25,28
3 - 25,-22
3 + 26,29
3 + 27,30
3 - 27,-24
3 * 27,81
3 / 27,0.1111111111111111
3 * 28,84
3 / 28,0.10714285714285714
3 + 29,32
3 - 29,-26
3 * 29,87
3 / 29,0.10344827586206896
3 - 30,-27
3 / 30,0.1
3 - 31,-28
3 / 31,0.0967741935483871
3 + 32,35
3 - 32,-29
3 / 32,0.09375
3 - 33,-30
3 * 33,99
3 + 34,37
3 + 35,38
3 * 35,105
3 / 35,0.08571428571428572
3 * 36,108
3 / 36,0.08333333333333333
3 + 38,41
3 * 38,114
3 / 38,0.07894736842105263
3 - 39,-36
3 + 40,43
3 - 40,-37
3 * 40,120
3 / 40,0.075
3 - 41,-38
3 * 41,123
3 - 42,-39
3 / 42,0.07142857142857142
3 + 43,46
3 * 43,129
3 + 44,47
3 - 44,-41
3 * 44,132
3 - 45,-42
3 * 46,138
3 / 46,0.06521739130434782
3 / 47,0.06382978723404255
3 + 48,51
3 * 48,144
3 / 48,0.0625
3 + 49,52
3 - 49,-46
3 / 49,0.061224489795918366
3 + 50,53
3 - 50,-47
3 / 50,0.06
3 - 51,-48
3 * 51,153
3 / 51,0.058823529411764705
3 + 52,55
3 - 53,-50
3 * 53,159
3 - 54,-51
3 * 54,162
3 * 55,165
3 / 55,0.05454545454545454
3 + 56,59
3 - 56,-53
3 * 56,168
3 / 56,0.05357142857142857
3 / 57,0.05263157894736842
3 + 58,61
3 - 58,-55
3 * 58,174
3 + 59,62
3 / 60,0.05
3 + 61,64
3 - 61,-58
3 / 62,0.04838709677419355
3 + 63,66
3 - 63,-60
3 * 63,189
3 / 63,0.047619047619047616
3 + 64,67
3 - 64,-61
3 * 64,192
3 / 64,0.046875
3 + 65,68
3 * 65,195
3 - 66,-63
3 * 66,198
3 / 66,0.045454545454545456
3 * 67,201
3 + 68,71
3 * 68,204
3 / 68,0.04411764705882353
3 * 69,207
3 / 70,0.04285714285714286
3 - 71,-68
3 + 72,75
3 * 72,216
3 / 72,0.041666666666666664
3 + 73,76
3 - 73,-70
3 / 73,0.0410958904109589
3 + 74,77
3 - 74,-71
3 / 74,0.04054054054054054
3 - 75,-72
3 + 76,79
3 - 76,-73
3 * 76,228
3 + 77,80
3 - 77,-74
3 * 77,231
3 / 77,0.03896103896103896
3 + 78,81
3 + 79,82
3 * 79,237
3 - 80,-77
3 + 81,84
3 - 81,-78
3 * 81,243
3 - 82,-79
3 * 82,246
3 / 82,0.036585365853658534
3 - 83,-80
3 * 83,249
3 / 83,0.03614457831325301
3 + 84,87
3 + 85,88
3 * 85,255
3 * 86,258
3 / 86,0.03488372093023256
3 + 88,91
3 - 88,-85
3 * 88,264
3 / 88,0.03409090909090909
3 + 89,92
3 * 89,267
3 / 89,0.033707865168539325
3 - 90,-87
3 / 91,0.03296703296703297
3 * 92,276
3 * 93,279
3 + 94,97
3 * 94,282
3 / 94,0.031914893617021274
3 + 95,98
3 * 95,285
3 + 96,99
3 - 97,-94
3 / 97,0.030927835051546393
3 + 98,101
3 * 98,294
3 + 99,102
3 - 99,-96
4 + 2,6
4 - 2,2
4 * 2,8
4 / 2,2.0
4 + 3,7
4 - 3,1
4 * 3,12
4 / 3,1.3333333333333333
4 + 4,8
4 - 4,0
4 + 6,10
4 - 7,-3
4 * 7,28
4 / 7,0.5714285714285714
4 + 8,12
4 - 8,-4
4 * 8,32
4 + 9,13
4 * 9,36
4 * 10,40
4 / 10,0.4
4 + 11,15
4 * 11,44
4 / 11,0.36363636363636365
4 * 12,48
4 / 12,0.3333333333333333
4 + 13,17
4 / 13,0.3076923076923077
4 - 14,-10
4 * 14,56
4 + 15,19
4 - 15,-11
4 / 15,0.26666666666666666
4 - 16,-12
4 * 16,64
4 + 17,21
4 - 17,-13
4 / 17,0.23529411764705882
4 - 19,-15
4 - 20,-16
4 * 20,80
4 - 21,-17
4 * 21,84
4 + 22,26
4 * 22,88
4 + 23,27
4 / 23,0.17391304347826086
4 + 24,28
4 / 24,0.16666666666666666
4 + 25,29
4 - 25,-21
4 * 25,100
4 / 25,0.16
4 + 26,30
4 - 27,-23
4 + 28,32
4 + 29,33
4 * 29,116
4 - 30,-26
4 / 30,0.13333333333333333
4 - 31,-27
4 / 31,0.12903225806451613
4 + 32,36
4 - 32,-28
4 * 32,128
4 / 32,0.125
4 + 33,37
4 - 33,-29
4 * 33,132
4 - 35,-31
4 * 35,140
4 / 35,0.11428571428571428
4 * 36,144
4 + 37,41
4 + 38,42
4 / 38,0.10526315789473684
4 * 39,156
4 + 40,44
4 - 40,-36
4 * 40,160
4 / 40,0.1
4 + 41,45
4 - 41,-37
4 * 41,164
4 - 42,-38
4 * 42,168
4 / 42,0.09523809523809523
4 - 43,-39
4 - 44,-40
4 * 44,176
4 / 44,0.09090909090909091
4 - 45,-41
4 * 45,180
4 / 45,0.08888888888888889
4 - 46,-42
4 / 46,0.08695652173913043
4 / 47,0.0851063829787234
4 + 48,52
4 + 49,53
4 / 49,0.08163265306122448
4 * 50,200
4 / 50,0.08
4 - 51,-47
4 / 51,0.0784313725490196
4 - 52,-48
4 * 52,208
4 / 52,0.07692307692307693
4 + 53,57
4 - 53,-49
4 - 54,-50
4 * 54,216
4 * 55,220
4 / 55,0.07272727272727272
4 + 56,60
4 * 56,224
4 / 56,0.07142857142857142
4 + 57,61
4 * 57,228
4 / 57,0.07017543859649122
4 - 58,-54
4 * 58,232
4 / 58,0.06896551724137931
4 - 60,-56
4 * 60,240
4 - 61,-57
4 * 61,244
4 - 62,-58
4 + 63,67
4 - 63,-59
4 / 63,0.06349206349206349
4 - 64,-60
4 / 64,0.0625
4 + 65,69
4 - 65,-61
4 / 65,0.06153846153846154
4 + 66,70
4 * 66,264
4 - 67,-63
4 + 68,72
4 + 69,73
4 - 69,-65
4 * 69,276
4 + 70,74
4 - 70,-66
4 * 70,280
4 / 70,0.05714285714285714
4 + 71,75
4 * 71,284
4 - 72,-68
4 / 72,0.05555555555555555
4 + 73,77
4 - 73,-69
4 / 73,0.0547945205479452
4 + 74,78
4 - 74,-70
4 / 74,0.05405405405405406
4 + 75,79
4 - 75,-71
4 * 75,300
4 / 75,0.05333333333333334
4 + 77,81
4 / 77,0.05194805194805195
4 + 78,82
4 - 78,-74
4 * 78,312
4 + 79,83
4 - 79,-75
4 / 79,0.05063291139240506
4 + 80,84
4 - 80,-76
4 * 81,324
4 + 82,86
4 * 82,328
4 + 83,87
4 + 84,88
4 - 84,-80
4 + 85,89
4 - 85,-81
4 * 85,340
4 * 86,344
4 + 87,91
4 * 87,348
4 * 88,352
4 / 88,0.045454545454545456
4 * 89,356
4 - 90,-86
4 - 92,-88
4 - 93,-89
4 + 94,98
4 * 94,376
4 / 94,0.0425531914893617
4 + 95,99
4 - 96,-92
4 * 96,384
4 / 96,0.041666666666666664
4 + 97,101
4 * 97,388
4 * 98,392
5 * 0,0
5 * 1,5
5 / 1,5.0
5 + 2,7
5 * 2,10
5 + 3,8
5 - 3,2
5 / 3,1.6666666666666667
5 / 4,1.25
5 + 5,10
5 - 5,0
5 * 5,25
5 + 6,11
5 / 6,0.8333333333333334
5 + 8,13
5 - 8,-3
5 + 10,15
5 * 10,50
5 + 11,16
5 - 11,-6
5 * 12,60
5 / 12,0.4166666666666667
5 + 13,18
5 * 13,65
5 + 14,19
5 * 14,70
5 * 15,75
5 / 16,0.3125
5 * 17,85
5 * 18,90
5 + 19,24
5 * 19,95
5 / 19,0.2631578947368421
5 + 20,25
5 - 20,-15
5 * 20,100
5 + 21,26
5 - 21,-16
5 / 22,0.22727272727272727
5 + 23,28
5 / 23,0.21739130434782608
5 - 24,-19
5 * 24,120
5 / 24,0.20833333333333334
5 + 25,30
5 - 25,-20
5 + 26,31
5 * 26,130
5 * 27,135
5 + 28,33
5 / 28,0.17857142857142858
5 * 29,145
5 / 29,0.1724137931034483
5 - 30,-25
5 * 31,155
5 / 31,0.16129032258064516
5 * 33,165
5 / 33,0.15151515151515152
5 + 34,39
5 * 34,170
5 + 35,40
5 - 35,-30
5 + 36,41
5 - 36,-31
5 + 37,42
5 - 37,-32
5 * 37,185
5 / 37,0.13513513513513514
5 - 38,-33
5 * 38,190
5 + 39,44
5 - 39,-34
5 * 40,200
5 * 41,205
5 / 41,0.12195121951219512
5 + 42,47
5 - 42,-37
5 / 42,0.11904761904761904
5 - 43,-38
5 / 43,0.11627906976744186
5 + 44,49
5 / 44,0.11363636363636363
5 + 45,50
5 - 45,-40
5 * 45,225
5 / 45,0.1111111111111111
5 + 48,53
5 - 48,-43
5 * 48,240
5 - 49,-44
5 + 50,55
5 - 50,-45
5 - 51,-46
5 * 51,255
5 - 52,-47
5 * 52,260
5 / 52,0.09615384615384616
5 + 53,58
5 - 53,-48
5 * 53,265
5 / 53,0.09433962264150944
5 + 54,59
5 - 54,-49
5 * 54,270
5 + 55,60
5 - 55,-50
5 + 56,61
5 - 56,-51
5 / 57,0.08771929824561403
5 / 58,0.08620689655172414
5 + 59,64
5 * 61,305
5 / 61,0.08196721311475409
5 + 62,67
5 - 62,-57
5 - 63,-58
5 * 63,315
5 / 63,0.07936507936507936
5 + 64,69
5 / 64,0.078125
5 + 65,70
5 - 65,-60
5 * 66,330
5 / 67,0.07462686567164178
5 + 68,73
5 - 68,-63
5 * 68,340
5 / 68,0.07352941176470588
5 - 69,-64
5 * 69,345
5 + 70,75
5 - 70,-65
5 + 71,76
5 - 71,-66
5 * 71,355
5 + 72,77
5 * 72,360
5 + 73,78
5 - 73,-68
5 + 74,79
5 - 74,-69
5 * 74,370
5 - 75,-70
5 / 75,0.06666666666666667
5 + 76,81
5 - 76,-71
5 * 76,380
5 + 77,82
5 + 78,83
5 - 78,-73
5 / 78,0.0641025641025641
5 - 79,-74
5 * 79,395
5 + 80,85
5 * 80,400
5 / 80,0.0625
5 + 81,86
5 - 81,-76
5 / 81,0.06172839506172839
5 - 82,-77
5 * 82,410
5 + 83,88
5 / 83,0.060240963855421686
5 * 84,420
5 + 85,90
5 - 85,-80
5 / 85,0.058823529411764705
5 + 86,91
5 * 86,430
5 / 86,0.05813953488372093
5 - 87,-82
5 * 87,435
5 + 88,93
5 / 88,0.056818181818181816
5 + 89,94
5 - 89,-84
5 * 89,445
5 + 90,95
5 * 90,450
5 / 90,0.05555555555555555
5 * 91,455
5 / 91,0.054945054945054944
5 + 92,97
5 * 92,460
5 + 93,98
5 - 93,-88
5 * 93,465
5 / 93,0.053763440860215055
5 - 94,-89
5 * 94,470
5 / 94,0.05319148936170213
5 * 95,475
5 + 96,101
5 - 96,-91
5 * 96,480
5 / 96,0.052083333333333336
5 + 97,102
5 - 97,-92
5 * 97,485
5 + 98,103
5 + 99,104
5 - 99,-94
5 * 99,495
5 / 99,0.050505050505050504
6 + 1,7
6 - 1,5
6 + 2,8
6 * 2,12
6 + 3,9
6 * 3,18
6 / 3,2.0
6 + 5,11
6 * 5,30
6 + 6,12
6 * 6,36
6 / 6,1.0
6 + 7,13
6 - 7,-1
6 * 8,48
6 / 9,0.6666666666666666
6 + 10,16
6 * 10,60
6 / 13,0.46153846153846156
6 * 14,84
6 * 15,90
6 / 15,0.4
6 - 16,-10
6 * 17,102
6 + 18,24
6 * 19,114
6 / 19,0.3157894736842105
6 + 21,27
6 - 21,-15
6 + 22,28
6 * 22,132
6 / 22,0.2727272727272727
6 - 23,-17
6 + 24,30
6 - 24,-18
6 * 24,144
6 + 25,31
6 + 26,32
6 * 26,156
6 / 26,0.23076923076923078
6 - 27,-21
6 * 27,162
6 / 27,0.2222222222222222
6 + 28,34
6 * 28,168
6 / 28,0.21428571428571427
6 - 29,-23
6 * 29,174
6 / 29,0.20689655172413793
6 / 30,0.2
6 + 31,37
6 - 31,-25
6 / 31,0.1935483870967742
6 + 32,38
6 * 32,192
6 + 33,39
6 * 33,198
6 / 33,0.18181818181818182
6 + 34,40
6 * 34,204
6 * 35,210
6 + 36,42
6 * 36,216
6 + 37,43
6 - 37,-31
6 * 37,222
6 / 37,0.16216216216216217
6 + 38,44
6 * 38,228
6 / 38,0.15789473684210525
6 - 39,-33
6 - 40,-34
6 + 41,47
6 - 41,-35
6 + 42,48
6 + 43,49
6 - 43,-37
6 * 43,258
6 + 44,50
6 * 44,264
6 - 45,-39
6 * 45,270
6 / 45,0.13333333333333333
6 + 47,53
6 * 47,282
6 * 48,288
6 / 48,0.125
6 - 49,-43
6 + 50,56
6 * 50,300
6 / 50,0.12
6 + 51,57
6 / 51,0.11764705882352941
6 / 52,0.11538461538461539
6 * 53,318
6 + 54,60
6 - 54,-48
6 * 54,324
6 / 54,0.1111111111111111
6 - 55,-49
6 + 56,62
6 * 56,336
6 + 57,63
6 - 57,-51
6 * 57,342
6 / 57,0.10526315789473684
6 + 58,64
6 / 58,0.10344827586206896
6 - 59,-53
6 / 59,0.1016949152542373
6 + 60,66
6 / 60,0.1
6 / 61,0.09836065573770492
6 + 62,68
6 + 63,69
6 / 63,0.09523809523809523
6 + 64,70
6 / 64,0.09375
6 - 65,-59
6 - 66,-60
6 * 66,396
6 / 67,0.08955223880597014
6 + 68,74
6 - 68,-62
6 / 68,0.08823529411764706
6 - 69,-63
6 * 69,414
6 / 69,0.08695652173913043
6 + 70,76
6 * 71,426
6 / 71,0.08450704225352113
6 + 72,78
6 + 73,79
6 - 73,-67
6 / 73,0.0821917808219178
6 * 74,444
6 / 74,0.08108108108108109
6 - 75,-69
6 * 75,450
6 + 76,82
6 - 76,-70
6 / 77,0.07792207792207792
6 * 78,468
6 + 79,85
6 - 79,-73
6 * 79,474
6 * 80,480
6 / 80,0.075
6 - 81,-75
6 * 81,486
6 / 81,0.07407407407407407
6 - 82,-76
6 * 82,492
6 - 83,-77
6 * 83,498
6 - 84,-78
6 * 84,504
6 + 85,91
6 - 85,-79
6 + 86,92
6 - 86,-80
6 / 86,0.06976744186046512
6 + 87,93
6 - 87,-81
6 / 87,0.06896551724137931
6 - 88,-82
6 + 89,95
6 - 89,-83
6 / 89,0.06741573033707865
6 * 90,540
6 / 90,0.06666666666666667
6 * 91,546
6 - 92,-86
6 / 92,0.06521739130434782
6 + 93,99
6 - 93,-87
6 + 94,100
6 - 94,-88
6 * 94,564
6 / 94,0.06382978723404255
6 * 95,570
6 / 95,0.06315789473684211
6 - 96,-90
6 * 96,576
6 / 96,0.0625
6 / 97,0.061855670103092786
6 - 98,-92
6 * 98,588
6 / 98,0.061224489795918366
6 + 99,105
7 + 0,7
7 - 0,7
7 * 0,0
7 + 1,8
7 - 1,6
7 * 1,7
7 / 1,7.0
7 + 2,9
7 / 2,3.5
7 - 3,4
7 * 3,21
7 + 4,11
7 * 4,28
7 / 4,1.75
7 + 5,12
7 - 5,2
7 / 6,1.1666666666666667
7 + 7,14
7 - 7,0
7 / 8,0.875
7 / 9,0.7777777777777778
7 - 10,-3
7 + 11,18
7 * 11,77
7 * 12,84
7 + 13,20
7 / 13,0.5384615384615384
7 + 14,21
7 / 14,0.5
7 - 15,-8
7 + 16,23
7 - 16,-9
7 * 16,112
7 + 17,24
7 - 17,-10
7 * 17,119
7 / 17,0.4117647058823529
7 * 18,126
7 - 19,-12
7 - 20,-13
