Expression,Value
70/83,0.8433734939759037
20/89,0.2247191011235955
87/99,0.8787878787878788
29+47,76
75-3,72
69/47,1.4680851063829787
1*59,59
3+21,24
5-22,-17
87-24,63
3/72,0.041666666666666664
3/71,0.04225352112676056
25/62,0.4032258064516129
86-12,74
85/45,1.8888888888888888
98/66,1.4848484848484849
72+12,84
88+82,170
43+97,140
44-70,-26
51/36,1.4166666666666667
15*28,420
42-81,-39
33+88,121
1+44,45
52-96,-44
27-36,-9
27+45,72
63-67,-4
81+1,82
74*97,7178
71*92,6532
31-16,15
0-76,-76
58-95,-37
39*34,1326
93+77,170
62+20,82
72-38,34
19-50,-31
90*63,5670
66*53,3498
73-43,30
20-58,-38
26/30,0.8666666666666667
76+8,84
33*45,1485
31*0,0
84*72,6048
89+15,104
48*47,2256
92*29,2668
30/15,2.0
10-48,-38
81+71,152
41/81,0.5061728395061729
53+94,147
92-36,56
1-26,-25
68/96,0.7083333333333334
95*37,3515
47+30,77
82*40,3280
24/43,0.5581395348837209
15+44,59
91-82,9
55-78,-23
57*26,1482
50*58,2900
16+65,81
56-1,55
70/99,0.7070707070707071
72+91,163
73*37,2701
66/71,0.9295774647887324
73+38,111
6-63,-57
53+72,125
37/71,0.5211267605633803
47*96,4512
87-37,50
17*12,204
55/85,0.6470588235294118
44-41,3
53-86,-33
44*74,3256
16+11,27
44/10,4.4
96-88,8
48/14,3.4285714285714284
39/88,0.4431818181818182
4*83,332
48*41,1968
99/39,2.5384615384615383
18*66,1188
67+60,127
77*85,6545
20/35,0.5714285714285714
33+37,70
85+3,88
95/23,4.130434782608695
18-68,-50
31+20,51
68*36,2448
4-5,-1
85*72,6120
7+5,12
80-14,66
85+93,178
73-57,16
98+51,149
20/61,0.32786885245901637
56-58,-2
55+99,154
63-40,23
86/8,10.75
6-78,-72
84*56,4704
17*93,1581
40+15,55
33/76,0.4342105263157895
9*18,162
19-72,-53
3*65,195
67*55,3685
22/96,0.22916666666666666
14+41,55
86*6,516
75+27,102
70-19,51
77*39,3003
45/20,2.25
53/15,3.533333333333333
44+64,108
10-14,-4
71-27,44
7+21,28
8/99,0.08080808080808081
7-97,-90
97/97,1.0
99/93,1.064516129032258
83/4,20.75
34/63,0.5396825396825397
86+7,93
25-91,-66
27*4,108
29*18,522
5-88,-83
13/60,0.21666666666666667
35-10,25
16*64,1024
79+34,113
6*64,384
76*73,5548
51+46,97
32+0,32
15*41,615
78*9,702
11+43,54
9/43,0.20930232558139536
27-98,-71
46/5,9.2
59+91,150
89*69,6141
19/91,0.2087912087912088
71-79,-8
72*2,144
89*30,2670
83-36,47
23+69,92
5*32,160
67-51,16
55+10,65
21*28,588
27/24,1.125
15-28,-13
49*81,3969
65/46,1.4130434782608696
62*17,1054
28/16,1.75
40+71,111
56-66,-10
42*27,1134
36-8,28
25*25,625
78-37,41
5*79,395
84-50,34
54/4,13.5
79-85,-6
40-71,-31
24*91,2184
65*33,2145
19-32,-13
45-40,5
63-52,11
18*73,1314
7+26,33
54+79,133
28+83,111
56/83,0.6746987951807228
37/47,0.7872340425531915
12+53,65
67/16,4.1875
55/85,0.6470588235294118
90/15,6.0
44*57,2508
99+87,186
43/95,0.45263157894736844
53/40,1.325
26/3,8.666666666666666
87+66,153
20/89,0.2247191011235955
7+18,25
19/73,0.2602739726027397
65-0,65
16*80,1280
8/52,0.15384615384615385
26*56,1456
36+85,121
82+57,139
68*96,6528
7+38,45
26+12,38
36+86,122
55-40,15
57-36,21
89/89,1.0
97/56,1.7321428571428572
91*29,2639
37*3,111
75*77,5775
78/21,3.7142857142857144
82-0,82
44+93,137
14*43,602
49*0,0
99-27,72
97+11,108
94-27,67
33+46,79
21+32,53
61+71,132
92+51,143
81-62,19
66/19,3.473684210526316
85+23,108
47/80,0.5875
73*3,219
44*29,1276
79-42,37
29-14,15
4-85,-81
32-87,-55
4*68,272
45/14,3.2142857142857144
35*12,420
22+78,100
16/20,0.8
56/12,4.666666666666667
23*78,1794
61-32,29
59-27,32
98+77,175
48-45,3
84+37,121
79/96,0.8229166666666666
99/49,2.020408163265306
68/52,1.3076923076923077
34-31,3
7-84,-77
11*9,99
38*65,2470
59-91,-32
69/70,0.9857142857142858
54/20,2.7
48-22,26
22*13,286
18-0,18
76/26,2.923076923076923
4-54,-50
0+70,70
25+30,55
54+69,123
28*28,784
57/19,3.0
46*2,92
1*47,47
74-69,5
38*28,1064
49/75,0.6533333333333333
68-57,11
76*52,3952
67-32,35
89/30,2.966666666666667
90+75,165
88/43,2.046511627906977
22/89,0.24719101123595505
8+77,85
98+70,168
2+11,13
46-12,34
69+36,105
61/55,1.1090909090909091
79+66,145
88/77,1.1428571428571428
90-38,52
38-34,4
58/10,5.8
15-60,-45
84-6,78
65*85,5525
96+82,178
70*70,4900
8*20,160
16-26,-10
48/3,16.0
5+34,39
23*5,115
51*39,1989
91/35,2.6
15+57,72
39*6,234
32*22,704
71-81,-10
35*23,805
85*18,1530
7/27,0.25925925925925924
66/32,2.0625
4-38,-34
67-28,39
88/62,1.4193548387096775
88-8,80
10+88,98
29*79,2291
44+9,53
94+14,108
68+86,154
75/91,0.8241758241758241
69-7,62
96/20,4.8
15*77,1155
69/47,1.4680851063829787
25-79,-54
84+22,106
10*49,490
51/76,0.6710526315789473
92*0,0
96/27,3.5555555555555554
50-19,31
52*57,2964
47/60,0.7833333333333333
60-66,-6
53+27,80
65+79,144
77*40,3080
1-51,-50
27/48,0.5625
2/84,0.023809523809523808
69*22,1518
92+23,115
93*95,8835
39/89,0.43820224719101125
21*44,924
30*11,330
42+19,61
34/21,1.619047619047619
67/33,2.0303030303030303
6-32,-26
44*59,2596
54/47,1.148936170212766
89+28,117
20+33,53
63*73,4599
18*17,306
1-21,-20
37+10,47
73+52,125
33+67,100
16*91,1456
85*56,4760
84/98,0.8571428571428571
13*49,637
91+71,162
62/89,0.6966292134831461
53-52,1
16+8,24
18*85,1530
45+12,57
98*73,7154
28*79,2212
22+75,97
14/6,2.3333333333333335
47+18,65
14/25,0.56
31+49,80
32/44,0.7272727272727273
46*23,1058
30/88,0.3409090909090909
25/49,0.5102040816326531
98/17,5.764705882352941
38/84,0.4523809523809524
87+58,145
50/33,1.5151515151515151
97+89,186
86*33,2838
43*89,3827
50/55,0.9090909090909091
80+84,164
86*85,7310
46+82,128
56-55,1
56/47,1.1914893617021276
92*2,184
66-60,6
49*37,1813
64*68,4352
87/24,3.625
86/85,1.011764705882353
60-19,41
95*17,1615
89+41,130
55*95,5225
49-17,32
57+21,78
54*9,486
62-92,-30
20-1,19
68*90,6120
18*15,270
51/28,1.8214285714285714
84+44,128
83-37,46
46*9,414
71/29,2.4482758620689653
41*6,246
64+87,151
67-24,43
61+52,113
3+23,26
83-99,-16
84/62,1.3548387096774193
38*7,266
90*10,900
62/88,0.7045454545454546
49/57,0.8596491228070176
33+63,96
54*63,3402
18-95,-77
28-65,-37
46/48,0.9583333333333334
42*63,2646
36/53,0.6792452830188679
0+1,1
86+24,110
88-38,50
31*65,2015
98+54,152
18*92,1656
40+33,73
4/69,0.057971014492753624
37/26,1.4230769230769231
64-3,61
48-67,-19
87*82,7134
41/98,0.41836734693877553
73-71,2
25*80,2000
47/71,0.6619718309859155
62*50,3100
66+72,138
84+83,167
66/79,0.8354430379746836
8/28,0.2857142857142857
17*56,952
82+79,161
37-50,-13
21+19,40
71*68,4828
98/71,1.380281690140845
5+88,93
43-73,-30
42*43,1806
30*72,2160
70+30,100
63/70,0.9
46-58,-12
16/92,0.17391304347826086
56/24,2.3333333333333335
11*75,825
69/65,1.0615384615384615
66*96,6336
59*46,2714
26*38,988
16*77,1232
25/19,1.3157894736842106
45-76,-31
20-63,-43
63+77,140
21*3,63
18/81,0.2222222222222222
19-30,-11
55-81,-26
66+73,139
24/60,0.4
83*95,7885
1/47,0.02127659574468085
71+55,126
52-5,47
90-47,43
80-41,39
74/62,1.1935483870967742
33-83,-50
6/53,0.11320754716981132
46/72,0.6388888888888888
86*40,3440
8+78,86
0*93,0
43/65,0.6615384615384615
6/12,0.5
61+46,107
18-75,-57
9-60,-51
36-49,-13
94/74,1.2702702702702702
57*72,4104
35+19,54
74+51,125
88-30,58
97/91,1.065934065934066
91/55,1.6545454545454545
4+72,76
41*81,3321
68+13,81
22+40,62
60/96,0.625
29*45,1305
23+75,98
39*77,3003
64+54,118
0/95,0.0
5+44,49
81+50,131
75*30,2250
40+74,114
3*75,225
37-29,8
44/10,4.4
18+29,47
39/46,0.8478260869565217
42-99,-57
27*92,2484
10/26,0.38461538461538464
3*67,201
8-90,-82
79+20,99
37+25,62
72-91,-19
74-83,-9
55/19,2.8947368421052633
94/13,7.230769230769231
93/69,1.3478260869565217
95-32,63
25*50,1250
29+10,39
20+45,65
62+8,70
18/88,0.20454545454545456
91-87,4
97/28,3.4642857142857144
62+29,91
41+87,128
20/94,0.2127659574468085
94+48,142
49-87,-38
90*9,810
48*98,4704
12*87,1044
58/73,0.7945205479452054
69-85,-16
59+65,124
9*63,567
10*30,300
73-72,1
80+39,119
83/95,0.8736842105263158
75+2,77
39*27,1053
1/38,0.02631578947368421
20/13,1.5384615384615385
57/13,4.384615384615385
59*20,1180
26-20,6
18-49,-31
65/67,0.9701492537313433
29/56,0.5178571428571429
41+19,60
57/66,0.8636363636363636
54*99,5346
97*20,1940
30*56,1680
39/44,0.8863636363636364
56*11,616
15-33,-18
90+2,92
47/25,1.88
27-59,-32
44+77,121
19-20,-1
57/62,0.9193548387096774
61/27,2.259259259259259
59+94,153
24-12,12
11*83,913
34/12,2.8333333333333335
24+99,123
55+57,112
28/36,0.7777777777777778
44/74,0.5945945945945946
29-86,-57
27+35,62
28+42,70
46-15,31
6+81,87
82/62,1.3225806451612903
64-64,0
80+92,172
4+27,31
56-82,-26
78*26,2028
45*47,2115
86+31,117
11+39,50
86/73,1.178082191780822
79*19,1501
34+48,82
97*9,873
3+12,15
46+84,130
95*30,2850
38+99,137
83-76,7
26+67,93
72/89,0.8089887640449438
8-79,-71
86/8,10.75
34-76,-42
89*6,534
64/46,1.391304347826087
28+72,100
99*75,7425
38/35,1.0857142857142856
21+22,43
49-33,16
5-39,-34
70*62,4340
49*53,2597
47-76,-29
60*64,3840
76+90,166
91-5,86
78*28,2184
9/48,0.1875
91+57,148
72*94,6768
74*59,4366
7/41,0.17073170731707318
76-29,47
54+78,132
77+43,120
17/45,0.37777777777777777
27-68,-41
4-50,-46
60/94,0.6382978723404256
18/32,0.5625
48*86,4128
85/97,0.8762886597938144
71*56,3976
81-81,0
43*23,989
39*71,2769
69*45,3105
82-39,43
2/60,0.03333333333333333
1*4,4
27+23,50
96-85,11
40+3,43
81/12,6.75
78/3,26.0
78+18,96
93/29,3.206896551724138
17+5,22
75*6,450
10+82,92
77*1,77
21-54,-33
1+48,49
94*64,6016
82+22,104
60-50,10
62+92,154
68-49,19
70+34,104
93+22,115
58+70,128
97+67,164
63/60,1.05
8/89,0.0898876404494382
53*67,3551
1+73,74
25+88,113
77-85,-8
84*26,2184
88+8,96
28*2,56
67/49,1.3673469387755102
54-64,-10
82-21,61
82*52,4264
89/76,1.1710526315789473
19+41,60
83-53,30
62+10,72
33*53,1749
85+59,144
23*58,1334
56*41,2296
38*16,608
59-27,32
11-45,-34
88*57,5016
51/20,2.55
68+80,148
97-66,31
90+96,186
2+56,58
45-11,34
27-0,27
65+8,73
30/86,0.3488372093023256
72/71,1.0140845070422535
71*54,3834
35-90,-55
78+11,89
81*63,5103
38+2,40
37+9,46
77/34,2.264705882352941
71/48,1.4791666666666667
58/42,1.380952380952381
46/31,1.4838709677419355
30+77,107
75/93,0.8064516129032258
96*79,7584
64-32,32
98*16,1568
39/66,0.5909090909090909
75-80,-5
97*59,5723
91+39,130
97/2,48.5
77-8,69
79+52,131
28/25,1.12
23/66,0.3484848484848485
2-5,-3
16*85,1360
73-28,45
81*20,1620
31*29,899
85+64,149
47+8,55
65+15,80
75+49,124
28/67,0.417910447761194
26/63,0.4126984126984127
40*13,520
35-58,-23
22/24,0.9166666666666666
27-8,19
61+51,112
94/31,3.032258064516129
91*99,9009
26-76,-50
63+23,86
23+16,39
56+24,80
78/92,0.8478260869565217
86/9,9.555555555555555
97/12,8.083333333333334
86+61,147
19-76,-57
87*74,6438
67/33,2.0303030303030303
34-23,11
95+86,181
1*31,31
96+60,156
39*66,2574
87-36,51
73*7,511
33-50,-17
46/93,0.4946236559139785
54/95,0.5684210526315789
4+76,80
45-54,-9
32+94,126
90/63,1.4285714285714286
51-58,-7
90-49,41
54*34,1836
73+93,166
13/97,0.13402061855670103
45-25,20
3+34,37
86+52,138
63*8,504
74*25,1850
22/42,0.5238095238095238
68+92,160
92-16,76
82/7,11.714285714285714
9-18,-9
10/8,1.25
56*15,840
42/17,2.4705882352941178
90/1,90.0
79+60,139
10+17,27
86+99,185
77/60,1.2833333333333334
4+96,100
57*18,1026
21*75,1575
63-80,-17
26-15,11
57+79,136
79/13,6.076923076923077
16*30,480
7+21,28
43/61,0.7049180327868853
31+45,76
61/1,61.0
53*91,4823
45*44,1980
10-99,-89
56*92,5152
18-98,-80
1*52,52
13/12,1.0833333333333333
11*15,165
77+89,166
69/3,23.0
89-70,19
50+96,146
90/8,11.25
48-4,44
94-64,30
89+25,114
96-50,46
56-80,-24
40*67,2680
35+95,130
33-89,-56
51/26,1.9615384615384615
42/66,0.6363636363636364
63*37,2331
80-48,32
79-47,32
64+50,114
39*49,1911
14+5,19
82+1,83
60-62,-2
66*66,4356
1+12,13
54/37,1.4594594594594594
20-18,2
17/59,0.288135593220339
26/54,0.48148148148148145
31/71,0.43661971830985913
30/54,0.5555555555555556
86+27,113
32-87,-55
26+47,73
77*74,5698
42/35,1.2
37*80,2960
62-72,-10
27*69,1863
20-43,-23
69*29,2001
47/68,0.6911764705882353
71+44,115
46-73,-27
80-6,74
98+28,126
51-61,-10
47+40,87
33+4,37
56/45,1.2444444444444445
80+43,123
10+37,47
88-39,49
74/23,3.217391304347826
16/30,0.5333333333333333
17+17,34
75/76,0.9868421052631579
49+76,125
45*62,2790
67-96,-29
43*11,473
46*24,1104
15*82,1230
29*95,2755
16-36,-20
13+85,98
77-80,-3
25+66,91
58-98,-40
81/73,1.1095890410958904
85*13,1105
27+14,41
46-59,-13
94+40,134
4+36,40
62+63,125
42-61,-19
99-25,74
19*4,76
54-87,-33
67/71,0.9436619718309859
53*90,4770
8-25,-17
38*55,2090
42*31,1302
81*7,567
46-78,-32
80/85,0.9411764705882353
54*69,3726
1+56,57
59-78,-19
19+96,115
26/54,0.48148148148148145
81-35,46
12/20,0.6
93-9,84
52*67,3484
14*53,742
93/77,1.2077922077922079
94/62,1.5161290322580645
41/41,1.0
42/34,1.2352941176470589
32*40,1280
41*72,2952
75*80,6000
72*62,4464
64+2,66
20*24,480
27+55,82
66/57,1.1578947368421053
2*84,168
70-96,-26
12/53,0.22641509433962265
95/58,1.6379310344827587
0*52,0
39/36,1.0833333333333333
97*84,8148
47-56,-9
95+1,96
39-55,-16
90+75,165
74*19,1406
32*15,480
75-67,8
58+63,121
49-45,4
90-96,-6
75*97,7275
23*32,736
25*74,1850
62-24,38
18-21,-3
69/90,0.7666666666666667
18*93,1674
2+1,3
31*22,682
63-77,-14
63/70,0.9
16/67,0.23880597014925373
93*8,744
32/18,1.7777777777777777
16-58,-42
61+20,81
31+71,102
26*77,2002
80*24,1920
4/87,0.04597701149425287
44-88,-44
75-7,68
83-3,80
23-85,-62
38-75,-37
60*33,1980
80+15,95
88/64,1.375
61*16,976
36+37,73
62+91,153
11-20,-9
23-77,-54
36/20,1.8
77-95,-18
23/91,0.25274725274725274
37/88,0.42045454545454547
16/14,1.1428571428571428
61-51,10
76+93,169
25-35,-10
44/85,0.5176470588235295
76+76,152
1*77,77
43*9,387
37-23,14
45*56,2520
60-18,42
48/89,0.5393258426966292
99-5,94
6/94,0.06382978723404255
71+74,145
43-24,19
44/47,0.9361702127659575
88+1,89
29+99,128
68+53,121
58-18,40
6/2,3.0
64*91,5824
92*34,3128
76+25,101
7+79,86
26-1,25
33-19,14
11*14,154
96-18,78
33/84,0.39285714285714285
92-72,20
90/36,2.5
89+75,164
94+21,115
20*34,680
60*51,3060
13*49,637
99/73,1.356164383561644
26*39,1014
48-50,-2
50-74,-24
55-16,39
32/59,0.5423728813559322
23/51,0.45098039215686275
87/52,1.6730769230769231
33-92,-59
87+88,175
18/1,18.0
18/65,0.27692307692307694
3/69,0.043478260869565216
90*68,6120
71/15,4.733333333333333
1/59,0.01694915254237288
1+31,32
70+32,102
93+94,187
95-98,-3
1/98,0.01020408163265306
92-82,10
29/83,0.3493975903614458
12-31,-19
89-24,65
3*27,81
43*7,301
53-4,49
25+44,69
6*77,462
76+19,95
58*33,1914
6-97,-91
45*98,4410
67*19,1273
89+17,106
64-10,54
93*67,6231
36+12,48
37/73,0.5068493150684932
20-40,-20
54*85,4590
15*29,435
26/81,0.32098765432098764
4-48,-44
96*97,9312
56/12,4.666666666666667
0*9,0
92*85,7820
37*75,2775
36-26,10
94-14,80
4+25,29
60/50,1.2
34-28,6
63-77,-14
94-82,12
36*55,1980
95+35,130
73-93,-20
50-68,-18
97-38,59
63/54,1.1666666666666667
70*51,3570
10-47,-37
57-76,-19
69-86,-17
86+40,126
10*16,160
2-37,-35
3*87,261
47-31,16
53-13,40
44/84,0.5238095238095238
84-78,6
75/91,0.8241758241758241
97-99,-2
87+35,122
15+34,49
81*13,1053
22+16,38
20+68,88
18-96,-78
96/92,1.0434782608695652
29*96,2784
1+24,25
37*84,3108
17*59,1003
89-81,8
35/53,0.660377358490566
44+63,107
6+34,40
0+67,67
2+37,39
6+64,70
43-83,-40
9*50,450
60+33,93
1/82,0.012195121951219513
30+99,129
77/56,1.375
13+11,24
99+72,171
62*12,744
48*57,2736
35*6,210
97*6,582
62+68,130
81/10,8.1
79*73,5767
40/99,0.40404040404040403
36-5,31
51/86,0.5930232558139535
60/82,0.7317073170731707
20-95,-75
69/77,0.8961038961038961
76+94,170
64+43,107
27-77,-50
72-99,-27
42*23,966
34+15,49
97*27,2619
19*75,1425
62+82,144
61+47,108
45/94,0.4787234042553192
31*97,3007
40*5,200
88*96,8448
54+58,112
91-84,7
37-36,1
18-89,-71
51*59,3009
29*63,1827
84+42,126
98*64,6272
20-1,19
77+63,140
41*8,328
63*95,5985
98-22,76
3*81,243
36*33,1188
62/52,1.1923076923076923
54*85,4590
77/93,0.8279569892473119
11*42,462
4/76,0.05263157894736842
9/50,0.18
98+42,140
41/54,0.7592592592592593
40+23,63
84*35,2940
96+75,171
95*12,1140
16*52,832
74*98,7252
52+98,150
41-53,-12
25*65,1625
80*68,5440
57+72,129
80*60,4800
36+25,61
69/45,1.5333333333333334
2+91,93
38+95,133
26/47,0.5531914893617021
89*78,6942
87-84,3
60-29,31
72*62,4464
76/72,1.0555555555555556
60*3,180
24+55,79
33/19,1.736842105263158
69-47,22
38*79,3002
23+13,36
33+9,42
78-63,15
25/78,0.32051282051282054
74-29,45
15/16,0.9375
55/21,2.619047619047619
77-58,19
27/59,0.4576271186440678
26+71,97
1/20,0.05
19/51,0.37254901960784315
93*36,3348
75*24,1800
28-23,5
14+56,70
60+62,122
21*50,1050
88-59,29
36/81,0.4444444444444444
50/83,0.6024096385542169
64/20,3.2
62+1,63
90*94,8460
41+35,76
7*40,280
38+19,57
29-82,-53
72/55,1.309090909090909
90-28,62
8*40,320
28/55,0.509090909090909
23*34,782
15-82,-67
11/69,0.15942028985507245
67*63,4221
78+54,132
25*98,2450
34-45,-11
47-0,47
67*67,4489
51/34,1.5
37-82,-45
47*55,2585
97*54,5238
27/44,0.6136363636363636
99*27,2673
23+63,86
77+94,171
57*9,513
13/2,6.5
19/67,0.2835820895522388
36+65,101
41*68,2788
94-77,17
52+92,144
98+56,154
87/89,0.9775280898876404
74/76,0.9736842105263158
24/98,0.24489795918367346
98+2,100
93+83,176
16*71,1136
35+33,68
30+65,95
95/69,1.3768115942028984
67+72,139
80/83,0.963855421686747
73*68,4964
49-93,-44
92*45,4140
59-29,30
97+5,102
43/83,0.5180722891566265
10*7,70
18+81,99
39-20,19
81+20,101
87+23,110
1+73,74
39-28,11
63*1,63
18*83,1494
72+89,161
92+24,116
77/10,7.7
64*50,3200
16/60,0.26666666666666666
37/12,3.0833333333333335
83-92,-9
67*28,1876
47*23,1081
44/91,0.4835164835164835
27-53,-26
32+11,43
52+9,61
26+57,83
73*31,2263
77/68,1.1323529411764706
46+42,88
37+80,117
71*2,142
67-83,-16
73/32,2.28125
31*35,1085
80-47,33
13+34,47
94/66,1.4242424242424243
35-25,10
26/30,0.8666666666666667
18+74,92
44/9,4.888888888888889
33*40,1320
35/26,1.3461538461538463
32-4,28
22-51,-29
99+37,136
14*98,1372
91-87,4
47/34,1.3823529411764706
47-20,27
67+2,69
42+71,113
47*57,2679
1+1,2
57+31,88
72-53,19
5*66,330
98-37,61
73-77,-4
92*93,8556
71+87,158
20/78,0.2564102564102564
34+95,129
54+27,81
4*73,292
30*31,930
52/46,1.1304347826086956
82+72,154
66*75,4950
96-18,78
70*91,6370
14/72,0.19444444444444445
67*16,1072
30/45,0.6666666666666666
0*21,0
97/86,1.127906976744186
7+65,72
33*93,3069
24-9,15
27/46,0.5869565217391305
56*74,4144
12/75,0.16
44-39,5
93+23,116
77/82,0.9390243902439024
8/90,0.08888888888888889
5+60,65
28-18,10
87+18,105
90-35,55
97+35,132
22/88,0.25
74/57,1.2982456140350878
47/37,1.2702702702702702
55/32,1.71875
33+99,132
19*88,1672
73/78,0.9358974358974359
89+12,101
33*1,33
98+82,180
77/24,3.2083333333333335
96*47,4512
48-79,-31
94+92,186
97+46,143
37-26,11
41*86,3526
24+7,31
23/36,0.6388888888888888
60-25,35
20-96,-76
84+76,160
32*52,1664
54*9,486
46+55,101
20*5,100
31/97,0.31958762886597936
73/92,0.7934782608695652
4+60,64
99+92,191
85/96,0.8854166666666666
28+12,40
53+43,96
27/66,0.4090909090909091
15/43,0.3488372093023256
71+59,130
75+18,93
91+1,92
67/55,1.2181818181818183
81+97,178
24/77,0.3116883116883117
19/54,0.35185185185185186
72/56,1.2857142857142858
74*33,2442
52*77,4004
83*61,5063
81-38,43
3-12,-9
82+85,167
90*58,5220
93-93,0
52/62,0.8387096774193549
78+22,100
58-69,-11
99*99,9801
16+10,26
11+73,84
30*34,1020
21-54,-33
64-69,-5
8-26,-18
71-35,36
19*90,1710
39+42,81
5/32,0.15625
48-82,-34
91*62,5642
78/95,0.8210526315789474
41-8,33
7-51,-44
27*15,405
66/7,9.428571428571429
16+92,108
3+3,6
8*71,568
82*48,3936
26*50,1300
85+58,143
42/30,1.4
83-82,1
67/59,1.1355932203389831
95/64,1.484375
66*55,3630
91/65,1.4
10*50,500
78-16,62
26/6,4.333333333333333
52/16,3.25
2/99,0.020202020202020204
21-58,-37
5-31,-26
8+79,87
88-64,24
96+83,179
87*69,6003
19/42,0.4523809523809524
74-24,50
27/63,0.42857142857142855
40+74,114
33-32,1
21-98,-77
23-12,11
68-83,-15
42+45,87
49+79,128
82-89,-7
99-95,4
7/47,0.14893617021276595
81*78,6318
87/30,2.9
63*38,2394
62/52,1.1923076923076923
56*25,1400
22*51,1122
15*40,600
58+33,91
92-3,89
1*42,42
2-33,-31
93+7,100
26*70,1820
91/97,0.9381443298969072
61+35,96
1*0,0
90/74,1.2162162162162162
66*59,3894
89*15,1335
76/92,0.8260869565217391
88-38,50
80+24,104
91*29,2639
17/69,0.2463768115942029
25+25,50
22+48,70
2+20,22
68+90,158
34+84,118
86/86,1.0
1+82,83
48*74,3552
76*0,0
43/23,1.8695652173913044
89-86,3
9-30,-21
24*21,504
12+15,27
35+93,128
92/74,1.2432432432432432
45-75,-30
16/65,0.24615384615384617
81-25,56
70/19,3.6842105263157894
64/69,0.927536231884058
12-41,-29
23+24,47
59-25,34
60*46,2760
56/62,0.9032258064516129
45-73,-28
80-35,45
55/45,1.2222222222222223
6*61,366
33+89,122
64+62,126
93-26,67
85*84,7140
